area_name,no_of_bedrooms,no_of_bathrooms,land_area_sqm,fenced,building_type,interior_type,roof_type,distance_to_main_road_km,road_type,area_type,electricity_reliability_hrs,water_supply_score,crime_rate_index,flood_prone,price
Sabo,5,1,410.0608739196983,No,Flat,POP,Gerrard,2.4043946814361625,Tarred,Urban,6,5,2,No,15032434.51
Sabo,3,4,475.2867891211309,Yes,Flat,Ceiling,Gerrard,2.668325304385336,Tarred,Urban,22,5,9,Yes,14558250.59
Sabo,5,1,879.3792198447356,No,Bungalow,POP,Gerrard,2.3127319699500863,Tarred,Urban,18,3,1,No,16103636.36
Sabo,3,4,410.9126733153162,No,Duplex,Ceiling,Normal,3.0699198982932088,Untarred,Urban,11,5,2,No,14692294.65
Sabo,3,1,468.56070581242847,Yes,Bungalow,Ceiling,Gerrard,4.937057295682483,Untarred,Urban,14,3,1,No,13779690.49
Sabo,3,3,690.6462153011666,No,Duplex,POP,Gerrard,1.9799276105516785,Untarred,Urban,15,3,3,No,15631279.74
Sabo,6,3,727.946872333797,No,Flat,Ceiling,Gerrard,2.7091175810335715,Tarred,Urban,16,3,7,No,16759316.52
Sabo,6,3,662.6504275666903,Yes,Bungalow,Ceiling,Gerrard,3.534967678590582,Untarred,Urban,9,4,4,No,16663810.52
Sabo,4,4,784.4640930984375,No,Bungalow,POP,Gerrard,2.2501173854060306,Untarred,Rural,10,3,9,No,14652376.24
Sabo,4,2,431.2585317438421,Yes,Flat,POP,Gerrard,1.3850051016252856,Untarred,Rural,8,1,8,Yes,12943560.7
Sabo,2,2,601.6074139373169,Yes,Bungalow,Ceiling,Gerrard,0.8954953860378709,Tarred,Rural,7,3,8,No,13212511.23
Sabo,5,2,680.1178264565368,Yes,Bungalow,Ceiling,Gerrard,1.0952888499193003,Tarred,Urban,7,3,3,No,16563484.86
Sabo,5,4,357.70593065485247,No,Flat,POP,Normal,3.4433125617885474,Untarred,Urban,13,3,7,No,14922625.06
Sabo,5,1,445.111374540271,Yes,Duplex,Ceiling,Gerrard,1.8273429970337631,Tarred,Rural,6,4,8,No,14998587.42
Sabo,2,4,810.5570692605077,No,Duplex,Ceiling,Gerrard,1.9869572794963668,Untarred,Rural,21,2,2,No,13976365.36
Sabo,2,4,442.34945249808004,Yes,Duplex,Ceiling,Normal,3.3565418830416482,Tarred,Urban,22,5,3,No,15241184.23
Sabo,4,3,776.886782124989,Yes,Flat,POP,Gerrard,3.667770153255226,Tarred,Urban,20,1,5,No,16264043.61
Sabo,4,4,811.805673280416,Yes,Flat,Ceiling,Gerrard,1.013565184093244,Tarred,Rural,6,2,6,No,15001938.35
Sabo,4,2,826.4238431567733,Yes,Duplex,Ceiling,Gerrard,1.609240852469568,Untarred,Rural,16,4,7,No,14982720.82
Sabo,5,3,502.7970941109215,Yes,Bungalow,POP,Gerrard,2.4348704870358087,Tarred,Urban,20,4,6,No,16999152.76
Sabo,4,4,495.9907450776245,No,Bungalow,Ceiling,Gerrard,4.241710760057511,Tarred,Urban,6,4,2,No,15773129.28
Sabo,4,4,746.4255857994692,Yes,Bungalow,POP,Gerrard,3.504799523673759,Tarred,Rural,18,2,6,No,15741562.31
Sabo,6,1,682.9623563060102,Yes,Duplex,POP,Normal,0.4290374129199142,Tarred,Urban,17,4,5,Yes,16473286.41
Sabo,5,1,578.8042877637669,Yes,Bungalow,Ceiling,Normal,1.452289392040227,Tarred,Rural,4,5,4,No,14366712.6
Sabo,3,1,820.3193601330023,Yes,Duplex,Ceiling,Gerrard,0.8168016955227688,Untarred,Rural,15,3,1,No,14012583.44
Sabo,6,2,708.9682013836739,Yes,Bungalow,POP,Gerrard,1.8720157013753473,Untarred,Urban,7,2,5,No,16615762.62
Sabo,4,1,738.9886531797841,Yes,Bungalow,POP,Normal,2.8969601222901136,Tarred,Urban,6,1,1,No,14803111.17
Sabo,6,3,359.99093229711804,Yes,Self-Contain,Ceiling,Gerrard,4.79264424860699,Untarred,Urban,18,5,5,No,15738346.69
Sabo,2,4,703.511073646223,No,Duplex,Ceiling,Gerrard,2.573217462572391,Tarred,Urban,8,3,7,No,15389410.24
Sabo,2,1,803.088458258391,Yes,Bungalow,POP,Normal,0.9037031441217223,Tarred,Urban,11,5,1,No,14620039.12
Sabo,2,3,844.6162238091277,Yes,Flat,Ceiling,Gerrard,2.0143404325868213,Untarred,Urban,22,3,2,No,14607316.37
Sabo,2,3,650.0212590582958,No,Flat,POP,Normal,1.2732600248933725,Untarred,Urban,16,5,5,Yes,12816754.6
Sabo,6,3,851.4694291671957,Yes,Duplex,POP,Gerrard,1.2406837116151577,Tarred,Rural,6,1,8,No,17091483.03
Sabo,3,4,688.1090170012343,Yes,Bungalow,POP,Gerrard,1.4477593417004608,Tarred,Urban,12,1,5,No,16150179.01
Sabo,5,4,397.5701636069348,No,Duplex,Ceiling,Normal,3.1443929404917914,Tarred,Rural,21,3,5,Yes,14636150.92
Sabo,2,3,656.4784292112811,Yes,Self-Contain,Ceiling,Normal,2.4497271670158574,Tarred,Urban,19,4,1,No,14277295.91
Sabo,6,2,847.8994513545857,Yes,Duplex,Ceiling,Gerrard,1.3572071951822329,Tarred,Urban,16,5,4,No,18005738.4
Sabo,5,3,368.1345553197774,Yes,Flat,Ceiling,Gerrard,4.290471201528993,Tarred,Urban,20,5,5,No,16063104.83
Sabo,4,3,841.8906352059757,Yes,Self-Contain,Ceiling,Gerrard,2.8631149210026834,Tarred,Rural,9,1,8,No,14764991.74
Sabo,2,1,777.8830654043263,Yes,Duplex,Ceiling,Gerrard,0.4201340787422382,Tarred,Urban,14,3,3,No,14725394.97
Sabo,4,2,718.600544218159,Yes,Duplex,POP,Normal,2.6731330633482124,Untarred,Urban,22,3,5,Yes,14827423.87
Sabo,6,2,372.3815226603605,Yes,Bungalow,POP,Gerrard,3.5138951774209537,Tarred,Rural,18,3,1,No,15640785.74
Sabo,2,4,748.9558142301951,Yes,Bungalow,POP,Gerrard,3.167622903345421,Tarred,Urban,16,2,8,Yes,15107282.5
Sabo,4,3,318.2832916401565,No,Flat,POP,Gerrard,3.739544989250332,Tarred,Urban,20,2,9,No,14917910.83
Sabo,5,1,707.4613914866937,No,Flat,POP,Gerrard,3.0168373665002197,Untarred,Urban,22,2,9,No,14833265.08
Sabo,4,4,598.9486187093642,Yes,Self-Contain,POP,Gerrard,1.9537127344354766,Tarred,Rural,12,3,3,Yes,14846724.61
